numero_uai,denomination_principale_uai,patronyme_uai,adresse_uai,localite_acheminement_uai,departement,code_postal_uai,full_name
0020048S,LYCEE GENERAL ET TECHNOLOGIQUE,HENRI MARTIN,1  RUE GABRIEL GIRODON,ST QUENTIN,002,02100,LYCEE GENERAL ET TECHNOLOGIQUE HENRI MARTIN
0020049T,LYCEE GENERAL ET TECHNOLOGIQUE,PIERRE DE LA RAMEE,1  RUE JULES SIEGFRIED,ST QUENTIN,002,02100,LYCEE GENERAL ET TECHNOLOGIQUE PIERRE DE LA RAMEE
0020050U,LGT LYCEE DES METIERS,CONDORCET,ROND-POINT JOLIOT CURIE,ST QUENTIN,002,02100,LGT LYCEE DES METIERS CONDORCET
0020051V,LP LYCEE DES METIERS,DE L AMEUBLEMENT,Rue FLEMING,ST QUENTIN,002,02100,LP LYCEE DES METIERS DE L AMEUBLEMENT
0020052W,LP LYCEE DES METIERS,COLARD NOEL,132 avenue DE LA REPUBLIQUE,ST QUENTIN,002,02100,LP LYCEE DES METIERS COLARD NOEL
0020059D,LYCEE GENERAL ET TECHNOLOGIQUE,GERARD DE NERVAL,14  RUE PAUL DEVIOLAINE,SOISSONS CEDEX,002,02209,LYCEE GENERAL ET TECHNOLOGIQUE GERARD DE NERVAL
0020060E,LYCEE GEN.ET TECHNOL.AGRICOLE,DE CREZANCY,1  RUE DE PARIS,CREZANCY,002,02650,LYCEE GEN.ET TECHNOL.AGRICOLE DE CREZANCY
0011162H,GRETA JURA SUD LEMAN,LYCEE SAINT EXUPERY,15 AVENUE SAINT EXUPERY,BELLEGARDE SUR VALSERINE,001,01200,GRETA JURA SUD LEMAN LYCEE SAINT EXUPERY
0011163J,GRETA VAL BUGEY LEMAN,LYCEE ARBEZ CARME,1  RUE PIERRE ET MARIE CURIE,BELLIGNAT,001,01100,GRETA VAL BUGEY LEMAN LYCEE ARBEZ CARME
0021476U,LPO LYCEE DES METIERS,LEONARD DE VINCI,1 espace JEAN GUERLAND,SOISSONS CEDEX,002,02331,LPO LYCEE DES METIERS LEONARD DE VINCI
0010099C,LYCEE PROF PRIVE des METIERS,SAINT JOSEPH,3 BIS RUE DU LYCEE,BOURG EN BRESSE,001,01000,LYCEE PROF PRIVE des METIERS SAINT JOSEPH
0010001W,LP LYCEE DES METIERS,ALEXANDRE BERARD,223 rue ALEXANDRE BERARD,AMBERIEU EN BUGEY,001,01500,LP LYCEE DES METIERS ALEXANDRE BERARD
0010006B,LPO LYCEE DES METIERS,SAINT-EXUPERY,15 avenue SAINT-EXUPERY,BELLEGARDE SUR VALSERINE C,001,01206,LPO LYCEE DES METIERS SAINT-EXUPERY
0010007C,LYCEE PROFESSIONNEL,BRILLAT SAVARIN,15 AVENUE SAINT EXUPERY,BELLEGARDE SUR VALSERINE C,001,01206,LYCEE PROFESSIONNEL BRILLAT SAVARIN
0010010F,LYCEE GENERAL ET TECHNOLOGIQUE,DU BUGEY,113 rue DU 5E RTM,BELLEY CEDEX,001,01306,LYCEE GENERAL ET TECHNOLOGIQUE DU BUGEY
0010014K,LYCEE GENERAL ET TECHNOLOGIQUE,EDGAR QUINET,5 avenue JEAN MARIE VERNE,BOURG EN BRESSE CEDEX,001,01011,LYCEE GENERAL ET TECHNOLOGIQUE EDGAR QUINET
0010016M,LYCEE POLYVALENT,JOSEPH-MARIE CARRIAT,1  RUE DE CROUY,BOURG EN BRESSE CEDEX,001,01011,LYCEE POLYVALENT JOSEPH-MARIE CARRIAT
0010020S,LP LYCEE DES METIERS,GEORGES CHARPAK,Avenue CHARLES DE GAULLE,CHATILLON SUR CHALARONNE,001,01400,LP LYCEE DES METIERS GEORGES CHARPAK
0010032E,LYCEE POLYVALENT,XAVIER BICHAT,AVENUE DU LAC,NANTUA,001,01130,LYCEE POLYVALENT XAVIER BICHAT
0040533H,LYCEE POLYVALENT,LES ISCLES,116  BOULEVARD REGIS RYCKEBUSH,MANOSQUE,004,04100,LYCEE POLYVALENT LES ISCLES
0040536L,PAYE AED,LYCEE PIERRE GILLES DE GENNES,QUARTIER SAINT CHRISTOPHE,DIGNE LES BAINS,004,04000,PAYE AED LYCEE PIERRE GILLES DE GENNES
0040543U,LYCEE GENERAL,ECOLE INTERNATIONALE PACA,159  AVENUE DR BERNARD FOUSSIER,MANOSQUE CEDEX,004,04102,LYCEE GENERAL ECOLE INTERNATIONALE PACA
0020012C,LPO LYCEE DES METIERS,JEAN DE LA FONTAINE,2 rue MOSBACH,CHATEAU THIERRY CEDEX,002,02405,LPO LYCEE DES METIERS JEAN DE LA FONTAINE
0020014E,LGT LYCEE DES METIERS,GAY LUSSAC,23 boulevard GAMBETTA,CHAUNY CEDEX,002,02302,LGT LYCEE DES METIERS GAY LUSSAC
0011326L,LYCEE GENERAL ET TECHNOLOGIQUE,DE LA COTIERE,270  CHEMIN DU GRAND CASSET,LA BOISSE,001,01120,LYCEE GENERAL ET TECHNOLOGIQUE DE LA COTIERE
0011242V,GRETA BUGEY,LYCEE ALEXANDRE BERARD,223 RUE ALEXANDRE BERARD,AMBERIEU EN BUGEY,001,01500,GRETA BUGEY LYCEE ALEXANDRE BERARD
0010050Z,LYCEE PROFESSIONNEL,,13 PLACE DES DEPORTES,OYONNAX,001,01100,LYCEE PROFESSIONNEL 
0020022N,LYCEE PROFESSIONNEL,JEAN MONNET,22 rue D ABOVILLE,LA FERE,002,02800,LYCEE PROFESSIONNEL JEAN MONNET
0020023P,LYCEE PROFESSIONNEL,,9 RUE DU CHATEAU,FERE EN TARDENOIS,002,02130,LYCEE PROFESSIONNEL 
0020031Y,LGT LYCEE DES METIERS,FREDERIC ET IRENE JOLIOT CURIE,1  PLACE DU PIGEON BLANC,HIRSON,002,02500,LGT LYCEE DES METIERS FREDERIC ET IRENE JOLIOT CURIE
0020032Z,LYCEE GENERAL ET TECHNOLOGIQUE,PAUL CLAUDEL,PLACE FOCH,LAON CEDEX,002,02001,LYCEE GENERAL ET TECHNOLOGIQUE PAUL CLAUDEL
0020034B,LYCEE POLYVALENT,PIERRE MECHAIN,19 rue LEO LAGRANGE,LAON CEDEX,002,02011,LYCEE POLYVALENT PIERRE MECHAIN
0021479X,LYCEE PROFESSIONNEL,FRANCOISE DOLTO,4 avenue DES LILAS,GUISE,002,02120,LYCEE PROFESSIONNEL FRANCOISE DOLTO
0021480Y,RESTAU.UNIV.DU LYCEE H.MARTIN,C.R.O.U.SD AMIENS,PLACE EDOUARD-BRANLY,ST QUENTIN,002,02100,RESTAU.UNIV.DU LYCEE H.MARTIN C.R.O.U.SD AMIENS
0011258M,LYCEE PROFESSIONNEL PRIVE,ENSEMBLE SCOLAIRE LAMARTINE,41 rue GEORGES GIRERD,BELLEY CEDEX,001,01302,LYCEE PROFESSIONNEL PRIVE ENSEMBLE SCOLAIRE LAMARTINE
0011276G,LYCEE GENERAL ET TECHNOLOGIQUE,DU VAL DE SAONE,220  CHEMIN D'ARRAS,TREVOUX CEDEX,001,01606,LYCEE GENERAL ET TECHNOLOGIQUE DU VAL DE SAONE
0020089L,LP LYCEE DES METIERS,FREDERIC ET IRENE JOLIOT CURIE,5 RUE RUE CHANZY,HIRSON,002,02500,LP LYCEE DES METIERS FREDERIC ET IRENE JOLIOT CURIE
0040034R,LYCEE GEN.ET TECHNOL.PRIVE,LE SACRE COEUR,2  AVENUE DES THERMES,DIGNE LES BAINS,004,04000,LYCEE GEN.ET TECHNOL.PRIVE LE SACRE COEUR
0020491Y,LYCEE GEN.ET TECHNOL.PRIVE,C.C.I.A.,ESPACE JEAN BOUIN,ST QUENTIN,002,02100,LYCEE GEN.ET TECHNOL.PRIVE C.C.I.A.
0040465J,LYCEE TECHNOLOGIQUE PRIVE,SACRE COEUR (LE),2 AVENUE DES THERMES,DIGNE LES BAINS,004,04000,LYCEE TECHNOLOGIQUE PRIVE SACRE COEUR (LE)
0011119L,LPO LYCEE DES METIERS,ARBEZ CARME,1 rue PIERRE ET MARIE CURIE,BELLIGNAT,001,01100,LPO LYCEE DES METIERS ARBEZ CARME
0011120M,LP LYCEE DES METIERS,ARBEZ CARME,1 RUE PIERRE ET MARIE CURIE,OYONNAX CEDEX,001,01117,LP LYCEE DES METIERS ARBEZ CARME
0022109G,LYCEE PROFESSIONNEL PRIVE,DU VAL DE SERRE,10 RUE DE LA HALLE,POUILLY SUR SERRE,002,02270,LYCEE PROFESSIONNEL PRIVE DU VAL DE SERRE
0050626D,ACHAT,LYCEE DOMINIQUE VILLARS,PLACE DE VERDUN,GAP CEDEX,005,05007,ACHAT LYCEE DOMINIQUE VILLARS
0050627E,PAYE AED,LYCEE DOMINIQUE VILLARS,PLACE DE VERDUN,GAP CEDEX,005,05007,PAYE AED LYCEE DOMINIQUE VILLARS
0020492Z,LYCEE PROF PRIVE des METIERS,ST VINCENT DE PAUL,13  AVENUE DE REIMS,SOISSONS CEDEX,002,02207,LYCEE PROF PRIVE des METIERS ST VINCENT DE PAUL
0020493A,LYCEE PROFESSIONNEL PRIVE,LACORDAIRE,ROUTE DE LAON,CHARMES,002,02800,LYCEE PROFESSIONNEL PRIVE LACORDAIRE
0030924N,LYCEE PROFESSIONNEL,VAL D'ALLIER,15 RUE DU BEAUPUY,VARENNES SUR ALLIER,003,03150,LYCEE PROFESSIONNEL VAL D'ALLIER
0030138J,CTRE PROMOTION PROFESSIONNELLE,DU LYCEE TECHNIQUE DE MOULINS,12 RUE DU REPOS,YZEURE,003,03400,CTRE PROMOTION PROFESSIONNELLE DU LYCEE TECHNIQUE DE MOULINS
0010069V,LYCEE GEN.ET TECHNOL.PRIVE,ENSEMBLE SCOLAIRE LAMARTINE,41 rue GEORGES GIRERD,BELLEY CEDEX,001,01302,LYCEE GEN.ET TECHNOL.PRIVE ENSEMBLE SCOLAIRE LAMARTINE
0010070W,LYCEE GEN.ET TECHNOL.PRIVE,SAINT PIERRE,7  RUE VILLENEUVE,BOURG EN BRESSE,001,01000,LYCEE GEN.ET TECHNOL.PRIVE SAINT PIERRE
0010072Y,LYCEE GENERAL ET TECHNOLOGIQUE,INTERNATIONAL,Avenue DES SPORTS,FERNEY VOLTAIRE,001,01210,LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL
0010075B,LYCEE GEN.ET TECHNOL.PRIVE,SAINT JOSEPH,101 rue HENRI GROBON,MIRIBEL,001,01700,LYCEE GEN.ET TECHNOL.PRIVE SAINT JOSEPH
0022042J,LPO LYCEE DES METIERS,JEAN BOUIN,Rue GASTON BACHELARD,ST QUENTIN,002,02100,LPO LYCEE DES METIERS JEAN BOUIN
0022044L,LPO LYCEE DES METIERS,LE CORBUSIER,Passage LE CORBUSIER,SOISSONS CEDEX,002,02331,LPO LYCEE DES METIERS LE CORBUSIER
0022045M,SECTION ENSEIGNT PROFESSIONNEL,LYCEE HOTELIER,PASSAGE LE CORBUSIER-CHEVREUX,SOISSONS CEDEX,002,02331,SECTION ENSEIGNT PROFESSIONNEL LYCEE HOTELIER
0022070P,CTR DE FORMATION CONTINUE,LYCEE ST JOSEPH CHATEAU THIERR,4 PLACE THIERS CHATEAU-THIERRY,CHATEAU THIERRY,002,02400,CTR DE FORMATION CONTINUE LYCEE ST JOSEPH CHATEAU THIERR
0070098U,LYCEE TECHNOL PR,DU SACRE COEUR,7 AVENUE DE LA GARE,TOURNON SUR RHONE CEDEX,007,07301,LYCEE TECHNOL PR DU SACRE COEUR
0070099V,LYCEE TECHNOLOGIQUE PRIVE,SAINT ANDRE,18 RUE EMILE COMBES,LE TEIL,007,07400,LYCEE TECHNOLOGIQUE PRIVE SAINT ANDRE
0070100W,LYCEE PROFESSIONNEL PRIVE,MARC SEGUIN,ROUTE DE CALIFORNIE,ANNONAY,007,07100,LYCEE PROFESSIONNEL PRIVE MARC SEGUIN
0070107D,LYCEE PROFESSIONNEL PRIVE,MARIE RIVIER,21 avenue NOTRE DAME,BOURG ST ANDEOL,007,07700,LYCEE PROFESSIONNEL PRIVE MARIE RIVIER
0070112J,LYCEE PROFESSIONNEL PRIVE,SAINT ANDRE,18  RUE EMILE COMBES,LE TEIL,007,07400,LYCEE PROFESSIONNEL PRIVE SAINT ANDRE
0070114L,LYCEE PROF PRIVE DES METIERS,NOTRE DAME,26 AVENUE DU VANEL,PRIVAS,007,07000,LYCEE PROF PRIVE DES METIERS NOTRE DAME
0070115M,LYCEE PROF PRIVE des METIERS,JULES FROMENT,18  RUE JEAN MERMOZ,AUBENAS CEDEX,007,07201,LYCEE PROF PRIVE des METIERS JULES FROMENT
0061763J,LYCEE GENERAL ET TECHNOLOGIQUE,GUILLAUME APOLLINAIRE,29  BOULEVARD JEAN BAPTISTE VERA,NICE,006,06300,LYCEE GENERAL ET TECHNOLOGIQUE GUILLAUME APOLLINAIRE
0022038E,CUISINE CENTRALE,LYCEE CONDORCET,ROND-POINT JOLIOT CURIE,ST QUENTIN,002,02100,CUISINE CENTRALE LYCEE CONDORCET
0022040G,CUISINE CENTRALE,LYCEE LEONARD DE VINCI,1 ESPACE JEAN GUERLAND,SOISSONS CEDEX,002,02331,CUISINE CENTRALE LYCEE LEONARD DE VINCI
0030016B,LYCEE GENERAL ET TECHNOLOGIQUE,,8 RUE SAINT JAMES,GANNAT,003,03800,LYCEE GENERAL ET TECHNOLOGIQUE 
0031082K,LYCEE POLYVALENT,VALERY LARBAUD,8 boulevard GABRIEL PERONNET,CUSSET CEDEX,003,03306,LYCEE POLYVALENT VALERY LARBAUD
0021726R,LYCEE PROFESSIONNEL,CHATEAU THIERRY,1 AVENUE DE CHAMPAGNE,CHATEAU THIERRY,002,02400,LYCEE PROFESSIONNEL CHATEAU THIERRY
0021512H,CENTRE DE PROMOTION SOCIALE,LYCEE ENSEIG.PROFES.,26 RUE DU VIEUX PORT,ST QUENTIN,002,02100,CENTRE DE PROMOTION SOCIALE LYCEE ENSEIG.PROFES.
0021514K,CENTRE DE PROMOTION SOCIALE,LYCEE TECHNIQUE D ETAT MIXTE,,ST QUENTIN,002,02100,CENTRE DE PROMOTION SOCIALE LYCEE TECHNIQUE D ETAT MIXTE
0021517N,CENTRE DE PROMOTION SOCIALE,LYCEE D ENSEIGNEMENT PROFES.,BOULEVARD DE PRESLES,SOISSONS,002,02200,CENTRE DE PROMOTION SOCIALE LYCEE D ENSEIGNEMENT PROFES.
0030073N,LYCEE GEN.ET TECHNOL.PRIVE,SAINTE PROCULE,10 RUE DES AUGUSTINS,GANNAT,003,03800,LYCEE GEN.ET TECHNOL.PRIVE SAINTE PROCULE
0030084A,LYCEE GENERAL PRIVE,SAINT BENOIT,4  RUE ACHILLE ROCHE,MOULINS CEDEX,003,03008,LYCEE GENERAL PRIVE SAINT BENOIT
0030105Y,LYCEE PROFESSIONNEL PRIVE,SAINTE-LOUISE,150 BOULEVARD DE COURTAIS,MONTLUCON,003,03100,LYCEE PROFESSIONNEL PRIVE SAINTE-LOUISE
0030112F,LYCEE PROFESSIONNEL PRIVE,ANNA RODIER,10  RUE DE BOURGOGNE,MOULINS,003,03000,LYCEE PROFESSIONNEL PRIVE ANNA RODIER
0021523V,LYCEE PROFESSIONNEL AGRICOLE,D AUMONT,PLACE FOCH,COUCY LA VILLE,002,02380,LYCEE PROFESSIONNEL AGRICOLE D AUMONT
0011058V,LYCEE PRIVE PROF RURAL,ST-SORLIN-EN-BUGEY,10 PLACE DE LA HALLE,ST SORLIN EN BUGEY,001,01150,LYCEE PRIVE PROF RURAL ST-SORLIN-EN-BUGEY
0021885N,GRETA SAINT QUENTIN - CHAUNY,LYCÉES CONDORCET - GAY LUSSAC,ROND-POINT JOLIOT CURIE,ST QUENTIN,002,02100,GRETA SAINT QUENTIN - CHAUNY LYCÉES CONDORCET - GAY LUSSAC
0021886P,GRETA SUD AISNE,LYCÉE L. DE VINCI SOISSONS,1 espace JEAN GUERLAND,SOISSONS CEDEX,002,02331,GRETA SUD AISNE LYCÉE L. DE VINCI SOISSONS
0030118M,LYCEE PROFESSIONNEL AGRICOLE,ANTOINE BRUN,44 AVENUE CHARLES DE GAULLE,LAPALISSE,003,03120,LYCEE PROFESSIONNEL AGRICOLE ANTOINE BRUN
0022125Z,CFA DU LYCEE ROBERT SCHUMAN,CFA ROBERT SCHUMAN,10 ROUTE D'UGNY,CHAUNY,002,02300,CFA DU LYCEE ROBERT SCHUMAN CFA ROBERT SCHUMAN
0020503L,LYCEE PROFESSIONNEL PRIVE,C.C.I.A,RUE MARCEL PAUL,SOISSONS,002,02200,LYCEE PROFESSIONNEL PRIVE C.C.I.A
0040023D,LPO LYCEE DES METIERS,PAUL ARENE,13  AVENUE DU STADE,SISTERON CEDEX,004,04203,LPO LYCEE DES METIERS PAUL ARENE
0040027H,LYCEE GENERAL ET TECHNOLOGIQUE,ALEXANDRA DAVID NEEL,17 avenue GENERAL LECLERC,DIGNE LES BAINS,004,04000,LYCEE GENERAL ET TECHNOLOGIQUE ALEXANDRA DAVID NEEL
0031083L,EMOP - ENT-MAT-BUR-AUDIOVISUEL,LYCEE THEODORE DE BANVILLE,12 COURS VINCENT D'INDY,MOULINS CEDEX,003,03017,EMOP - ENT-MAT-BUR-AUDIOVISUEL LYCEE THEODORE DE BANVILLE
0040502Z,LYCEE PROFESSIONNEL PRIVE,SACRE COEUR (DU),2  AVENUE DES THERMES,DIGNE LES BAINS,004,04000,LYCEE PROFESSIONNEL PRIVE SACRE COEUR (DU)
0021906L,LYCEE PROF PRIVE DES METIERS,SAINT CHARLES,1 rue DU BROUAGE,CHAUNY,002,02300,LYCEE PROF PRIVE DES METIERS SAINT CHARLES
0011194T,LYCEE GENERAL ET TECHNOLOGIQUE,DE LA PLAINE DE L'AIN,Rue LEON BLUM,AMBERIEU EN BUGEY,001,01500,LYCEE GENERAL ET TECHNOLOGIQUE DE LA PLAINE DE L'AIN
0040452V,COURS DE PROMOTIN SOCIALE,LYCEE D ENS PROFESSIONNEL,BOULEVARD DU TEMPS PERDU,MANOSQUE,004,04100,COURS DE PROMOTIN SOCIALE LYCEE D ENS PROFESSIONNEL
0040453W,COURS DE PROMOTION SOCIALE,LYCEE FELIX ESCLANGON,BOULEVARD MARTIN BRET,MANOSQUE,004,04100,COURS DE PROMOTION SOCIALE LYCEE FELIX ESCLANGON
0020077Y,LP LYCEE DES METIERS,GAY LUSSAC,BOULEVARD GAMBETTA,CHAUNY CEDEX,002,02302,LP LYCEE DES METIERS GAY LUSSAC
0020078Z,LYCEE PROFESSIONNEL,JULIE DAUBIE,3 place ROBERT AUMONT,LAON CEDEX,002,02011,LYCEE PROFESSIONNEL JULIE DAUBIE
0020079A,LP LYCEE DES METIERS,CONDORCET,Rond-point JOLIOT CURIE,ST QUENTIN,002,02100,LP LYCEE DES METIERS CONDORCET
0030935A,LYCEE POLYVALENT PRIVE,D'ENSEIGNEMENT SUP. DE V ICHY,17  AVENUE DES CELESTINS,VICHY,003,03200,LYCEE POLYVALENT PRIVE D'ENSEIGNEMENT SUP. DE V ICHY
0031097B,SECTION D'APPRENTISSAGE,LYCEE JEAN MONNET,39 PLACE JULES FERRY,YZEURE CEDEX,003,03401,SECTION D'APPRENTISSAGE LYCEE JEAN MONNET
0020088K,LP LYCEE DES METIERS,CAMILLE CLAUDEL,9 rue DE PANLEU,SOISSONS CEDEX,002,02209,LP LYCEE DES METIERS CAMILLE CLAUDEL
0040490L,LYCEE GENERAL ET TECHNOLOGIQUE,PIERRE-GILLES DE GENNES,2  ROUTE DE MARSEILLE,DIGNE LES BAINS,004,04000,LYCEE GENERAL ET TECHNOLOGIQUE PIERRE-GILLES DE GENNES
0021892W,SECTION ENSEIGNT PROFESSIONNEL,LYCEE JEAN MACE,7 RUE ANDRE TERNYNCK,CHAUNY,002,02300,SECTION ENSEIGNT PROFESSIONNEL LYCEE JEAN MACE
0021871Y,LYCEE GEN.ET TECHNOL.PRIVE,SAINT JOSEPH,2 CHAUSSÉE DE FONTAINE,FONTAINE LES VERVINS,002,02140,LYCEE GEN.ET TECHNOL.PRIVE SAINT JOSEPH
0060075Z,LYCEE GENERAL ET TECHNOLOGIQUE,LES EUCALYPTUS,7  AVENUE DES EUCALYPTUS,NICE CEDEX 3,006,06206,LYCEE GENERAL ET TECHNOLOGIQUE LES EUCALYPTUS
0060080E,LYCEE PROFESSIONNEL,HOTELIER,144 RUE DE FRANCE,NICE CEDEX 1,006,06048,LYCEE PROFESSIONNEL HOTELIER
0022000N,LYCEE PROFESSIONNEL PRIVE,LA PROVIDENCE,2 RUE CLERJOT,LAON CEDEX,002,02001,LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE
0022001P,LYCEE PROFESSIONNEL PRIVE,C.C.I.A.,ESPACE JEAN BOUIN,ST QUENTIN,002,02100,LYCEE PROFESSIONNEL PRIVE C.C.I.A.
0022002R,LYCEE PROFESSIONNEL PRIVE,SAINT JOSEPH,2 CHAUSSÉE DE FONTAINE,FONTAINE LES VERVINS,002,02140,LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH
0022008X,LP LYCEE DES METIERS,JEAN MACE,7 RUE ANDRE TERNYNCK,CHAUNY,002,02300,LP LYCEE DES METIERS JEAN MACE
0080926N,LYCEE PROFESSIONNEL,ANNEXE DU LYC DE VOUZIERS,RUE DE LA FUSION,VOUZIERS,008,08400,LYCEE PROFESSIONNEL ANNEXE DU LYC DE VOUZIERS
0060001U,LYCEE GENERAL ET TECHNOLOGIQUE,JACQUES AUDIBERTI,63 boulevard WILSON,ANTIBES CEDEX,006,06605,LYCEE GENERAL ET TECHNOLOGIQUE JACQUES AUDIBERTI
0060002V,LYCEE PROFESSIONNEL,JACQUES DOLLE,120 CHEMIN DE SAINT CLAUDE,ANTIBES,006,06600,LYCEE PROFESSIONNEL JACQUES DOLLE
0060009C,LYCEE GENERAL ET TECHNOLOGIQUE,AUGUSTE RENOIR,18 avenue MARCEL PAGNOL,CAGNES SUR MER CEDEX,006,06802,LYCEE GENERAL ET TECHNOLOGIQUE AUGUSTE RENOIR
0060011E,LYCEE GENERAL,CARNOT,90 boulevard CARNOT,CANNES CEDEX,006,06414,LYCEE GENERAL CARNOT
0060012F,LYCEE GENERAL,CAPRON,5 BOULEVARD ALEXANDRE III,CANNES,006,06400,LYCEE GENERAL CAPRON
0021873A,LYCEE GEN.ET TECHNOL.PRIVE,ST JEAN LA CROIX,25  RUE ANTOINE LECUYER,ST QUENTIN CEDEX,002,02105,LYCEE GEN.ET TECHNOL.PRIVE ST JEAN LA CROIX
0110004V,LYCEE GENERAL ET TECHNOLOGIQUE,PAUL SABATIER,36  RUE ALFRED DE MUSSET,CARCASSONNE CEDEX 9,011,11802,LYCEE GENERAL ET TECHNOLOGIQUE PAUL SABATIER
0110007Y,LPO LYCEE DES METIERS,JULES FIL,BOULEVARD JOLIOT CURIE,CARCASSONNE CEDEX 9,011,11890,LPO LYCEE DES METIERS JULES FIL
0061822Y,LYCEE TECHNOLOGIQUE PRIVE,FENELON,7 ROUTE NAPOLEON,GRASSE,006,06130,LYCEE TECHNOLOGIQUE PRIVE FENELON
0030026M,LPO LYCEE DES METIERS,PAUL CONSTANS,Rue CHRISTOPHE THIVRIER,MONTLUCON CEDEX,003,03107,LPO LYCEE DES METIERS PAUL CONSTANS
0050005D,LP LYCEE DES METIERS,ALPES ET DURANCE,QUARTIER DE LA ROBEYERE,EMBRUN,005,05200,LP LYCEE DES METIERS ALPES ET DURANCE
0050006E,LYCEE GENERAL ET TECHNOLOGIQUE,DOMINIQUE VILLARS,PLACE DE VERDUN,GAP CEDEX,005,05010,LYCEE GENERAL ET TECHNOLOGIQUE DOMINIQUE VILLARS
0050007F,LYCEE GENERAL ET TECHNOLOGIQUE,ARISTIDE BRIAND,20 AVENUE COMMANDANT DUMONT,GAP CEDEX,005,05007,LYCEE GENERAL ET TECHNOLOGIQUE ARISTIDE BRIAND
0080943G,LYCEE AGRICOLE PRIVE,MAUBERT FONTAINE,18 RUE DU CHATEAU,MAUBERT FONTAINE,008,08260,LYCEE AGRICOLE PRIVE MAUBERT FONTAINE
0060013G,LYCEE GENERAL ET TECHNOLOGIQUE,BRISTOL,10 avenue ST NICOLAS,CANNES CEDEX,006,06414,LYCEE GENERAL ET TECHNOLOGIQUE BRISTOL
0060014H,LYCEE GENERAL ET TECHNOLOGIQUE,JULES FERRY,82 BOULEVARD DE LA REPUBLIQUE,CANNES CEDEX,006,06414,LYCEE GENERAL ET TECHNOLOGIQUE JULES FERRY
0090003E,LYCEE PROFESSIONNEL,JEAN DURROUX,1  AVENUE JEAN DURROUX,FERRIERES SUR ARIEGE,009,09000,LYCEE PROFESSIONNEL JEAN DURROUX
0090006H,LP LYCEE DES METIERS,JOSEPH MARIE JACQUARD,Rue JACQUARD,LAVELANET,009,09300,LP LYCEE DES METIERS JOSEPH MARIE JACQUARD
0040447P,COURS DE PROMOTION SOCIALE,LYCEE PAUL ARENE,QUARTIER DE BEAULIEU,SISTERON,004,04200,COURS DE PROMOTION SOCIALE LYCEE PAUL ARENE
0021872Z,LYCEE GEN.ET TECHNOL.PRIVE,LA PROVIDENCE,2  RUE CLERJOT,LAON CEDEX,002,02001,LYCEE GEN.ET TECHNOL.PRIVE LA PROVIDENCE
0060750H,LYCEE POLYVALENT PRIVE,INSTITUTION ST JOSEPH CARNOLES,191 AVENUE ARISTIDE BRIAND,ROQUEBRUNE CAP MARTIN,006,06190,LYCEE POLYVALENT PRIVE INSTITUTION ST JOSEPH CARNOLES
0061991G,LYCEE GENERAL ET TECHNOLOGIQUE,ALLIANCE/APEDA,22  RUE MICHELET,NICE,006,06100,LYCEE GENERAL ET TECHNOLOGIQUE ALLIANCE/APEDA
0021818R,LYCEE AGRICOLE PRIVE,ROBERT SCHUMAN,10 ROUTE D'UGNY,CHAUNY,002,02300,LYCEE AGRICOLE PRIVE ROBERT SCHUMAN
0050009H,LP LYCEE DES METIERS,SEVIGNE,6 RUE JEAN MACE,GAP CEDEX,005,05003,LP LYCEE DES METIERS SEVIGNE
0050012L,LYCEE GEN.ET TECH. AGRICOLE,HAUTES-ALPES (DES),,GAP,005,05000,LYCEE GEN.ET TECH. AGRICOLE HAUTES-ALPES (DES)
0050027C,LYCEE PROFESSIONNEL,PIERRE MENDES FRANCE,PLACE DES AIRES,VEYNES,005,05400,LYCEE PROFESSIONNEL PIERRE MENDES FRANCE
0061691F,LGT LYCEE DES METIERS,THIERRY MAULNIER,2  AVENUE CLAUDE DEBUSSY,NICE,006,06200,LGT LYCEE DES METIERS THIERRY MAULNIER
0061693H,LYCEE GEN.ET TECHNOL.PRIVE,STE MARIE,4 AVENUE WINDSOR,CANNES,006,06400,LYCEE GEN.ET TECHNOL.PRIVE STE MARIE
0061160D,LYCEE TECHNIQUE PRIVE,INSTITUT SUPERIEUR E. S. F.,1 PLACE SASSERNO,NICE,006,06000,LYCEE TECHNIQUE PRIVE INSTITUT SUPERIEUR E. S. F.
0030036Y,LYCEE GENERAL,THEODORE DE BANVILLE,12 cours VINCENT D'INDY,MOULINS CEDEX,003,03017,LYCEE GENERAL THEODORE DE BANVILLE
0030037Z,LYCEE GENERAL,LYCEE CLASS.ET MOD.ETAT,26 RUE DU 8 MAI,MOULINS,003,03000,LYCEE GENERAL LYCEE CLASS.ET MOD.ETAT
0030038A,LPO LYCEE DES METIERS,JEAN MONNET,39 place JULES FERRY,YZEURE CEDEX,003,03401,LPO LYCEE DES METIERS JEAN MONNET
0030051P,LGT LYCEE DES METIERS,ALBERT LONDRES,BOULEVARD DU 8 MAI 1945,CUSSET CEDEX,003,03306,LGT LYCEE DES METIERS ALBERT LONDRES
0050004C,LYCEE CLIMATIQUE,HONORE ROMANE,ROUTE DE CALEYERE,EMBRUN CEDEX,005,05202,LYCEE CLIMATIQUE HONORE ROMANE
