numero_uai,denomination_principale_uai,patronyme_uai,adresse_uai,localite_acheminement_uai,departement,code_postal_uai,full_name
0670002N,LYCEE GENERAL ET TECHNOLOGIQUE,SCHURE,2 rue DU LYCEE,BARR CEDEX,067,67142,LYCEE GENERAL ET TECHNOLOGIQUE SCHURE
0650598X,COURS DE PROMOTION SOCIALE,DU LYCEE TECHNIQUE D ETAT,12 RUE GASTON DREYT,TARBES,065,65000,COURS DE PROMOTION SOCIALE DU LYCEE TECHNIQUE D ETAT
0650886K,LYCEE PROF PRIVE DES METIERS,SAINT-PIERRE PRADEAU LA SEDE,24 avenue D'AZEREIX,TARBES,065,65000,LYCEE PROF PRIVE DES METIERS SAINT-PIERRE PRADEAU LA SEDE
0730013T,LYCEE GENERAL,VAUGELAS,8 rue JEAN-PIERRE VEYRAT,CHAMBERY CEDEX,073,73006,LYCEE GENERAL VAUGELAS
0720825F,LYCEE PROFESSIONNEL PRIVE,JOSEPH ROUSSEL,50  AVENUE BOLLEE,LE MANS,072,72000,LYCEE PROFESSIONNEL PRIVE JOSEPH ROUSSEL
0720833P,LYCEE GENERAL PRIVE,NOTRE DAME,46 rue DE LA MAGDELEINE,LA FLECHE CEDEX,072,72205,LYCEE GENERAL PRIVE NOTRE DAME
0720834R,LYCEE GEN.ET TECHNOL.PRIVE,ND DE STE CROIX,25 RUE ANTOINE DE ST EXUPERY,LE MANS,072,72000,LYCEE GEN.ET TECHNOL.PRIVE ND DE STE CROIX
0720837U,LYCEE GEN.ET TECHNOL.PRIVE,NOTRE DAME,23 avenue FRANCOIS MITTERRAND,LE MANS,072,72000,LYCEE GEN.ET TECHNOL.PRIVE NOTRE DAME
0670006T,LP LYCEE DES METIERS,PHILIPPE-CHARLES GOULDEN,2 RUE DE LA PISCINE,BISCHWILLER CEDEX,067,67241,LP LYCEE DES METIERS PHILIPPE-CHARLES GOULDEN
0650921Y,LYCEE TECHNOLOGIQUE PRIVE,SAINT-PIERRE,24 AVENUE D'AZEREIX,TARBES,065,65000,LYCEE TECHNOLOGIQUE PRIVE SAINT-PIERRE
0700024W,LYCEE PROFESSIONNEL,BEAUREGARD,32 RUE P RIMEY,LUXEUIL LES BAINS CEDEX,070,70306,LYCEE PROFESSIONNEL BEAUREGARD
0710071S,LYCEE GENERAL ET TECHNOLOGIQUE,GABRIEL VOISIN,Rue SAINT JEAN,TOURNUS,071,71700,LYCEE GENERAL ET TECHNOLOGIQUE GABRIEL VOISIN
0710080B,LP LYCEE DES METIERS,ALEXANDRE DUMAINE,95 espace ALEXANDRE DUMAINE,MACON CEDEX,071,71018,LP LYCEE DES METIERS ALEXANDRE DUMAINE
0700077D,LYCEE PROFESSIONNEL PRIVE,GPE SCOLAIRE DE LA COMPASSION,800 RUE DE L'HERMITAGE,VILLERSEXEL,070,70110,LYCEE PROFESSIONNEL PRIVE GPE SCOLAIRE DE LA COMPASSION
0672534R,LPO LYCEE DES METIERS,HAUT-BARR,4 rue JEAN DE MANDERSCHEID,SAVERNE CEDEX,067,67703,LPO LYCEE DES METIERS HAUT-BARR
0720048L,LPO LYCEE DES METIERS,RAPHAEL ELIZE,21 rue ST DENIS,SABLE SUR SARTHE CEDEX,072,72305,LPO LYCEE DES METIERS RAPHAEL ELIZE
0711572Y,GPT ETS POUR LA FORM CONTINUE,LYCEE TECHNIQUE,5 RUE DU COLLEGE,TOURNUS,071,71700,GPT ETS POUR LA FORM CONTINUE LYCEE TECHNIQUE
0680086Z,SECTION ENSEIGNT PROFESSIONNEL,DU LYCEE JEAN MERMOZ,53 RUE DU DR HURST,ST LOUIS,068,68300,SECTION ENSEIGNT PROFESSIONNEL DU LYCEE JEAN MERMOZ
0672597J,ECOLE SECONDAIRE PRIVEE,LYCEE DE L'EUROPE,RUE GEILER,STRASBOURG,067,67000,ECOLE SECONDAIRE PRIVEE LYCEE DE L'EUROPE
0681203N,CRS PROMOTION PROFESSIONNELLE,DU LYCEE TECHNIQUE NATIONALISE,5 RUE DES CHANOINES,GUEBWILLER,068,68500,CRS PROMOTION PROFESSIONNELLE DU LYCEE TECHNIQUE NATIONALISE
0711067Z,LYCEE GEN.ET TECHNOL.AGRICOLE,MACON DAVAYE,,DAVAYE,071,71960,LYCEE GEN.ET TECHNOL.AGRICOLE MACON DAVAYE
0400019D,LP LYCEE DES METIERS,DE L' AUTO FREDERIC ESTEVE,,MONT DE MARSAN,040,40000,LP LYCEE DES METIERS DE L' AUTO FREDERIC ESTEVE
0390002R,LYCEE PROFESSIONNEL,LES VIGNES,43 RUE DE LARNEY,ARBOIS CEDEX,039,39601,LYCEE PROFESSIONNEL LES VIGNES
0430021P,LYCEE GENERAL ET TECHNOLOGIQUE,SIMONE WEIL,22 BOULEVARD MARECHAL JOFFRE,LE PUY EN VELAY CEDEX,043,43003,LYCEE GENERAL ET TECHNOLOGIQUE SIMONE WEIL
0430098Y,LPO PRIVE LYCEE DES METIERS,ANNE MARIE MARTEL,2 RUE ANNE-MARIE MARTEL,LE PUY EN VELAY CEDEX,043,43002,LPO PRIVE LYCEE DES METIERS ANNE MARIE MARTEL
